batch_key,source_name,source_pdf,brand_zh,brand_en,prepared_by,prepared_at,notes
2026-07-xiaying-shanhe,manual_pdf_catalog,厦鹰图册.pdf,厦鹰阀门,XIAYING,,,厦鹰阀门产品图册
2026-07-xiaying-shanhe,manual_pdf_catalog,山河消防图册(2).pdf,天广/山河消防,TianGuang/Shanhe,,,山河消防产品图册
