external_spu_key,source_pdf,source_page,source_block_no,category_code,category_guess_zh,product_name_zh,product_name_en,brand_zh,brand_en,manufacturer_model,unit,currency,moq,moq_unit,description_zh,selling_points_zh,certifications,origin_zh,status,notes
XIAYING-P120-B01-H42H,厦鹰图册.pdf,120,1,,止回阀,H42H美标立式止回阀,American standard vertical check valve,厦鹰阀门,XIAYING,H42H,PCS,TZS,,PCS,,公称通径1/2''-12''; 公称压力150-900Lb,,中国,DRAFT,示例行，category_code 待按分类表确认
SHANHE-P25-B01-SQD,山河消防图册(2).pdf,25,1,26.001.006,消防水泵接合器,多用式消防水泵接合器,,天广/山河消防,TianGuang/Shanhe,SQD,PCS,TZS,1,PCS,,适用介质: 水、泡沫混合液,,中国,DRAFT,示例行
