spu_code,material_name,offer_id,run_crawled_at,updated_at,n_main,n_gallery,n_detail,best_main_min_side,old_category_code,new_category_code,created_leaf_codes,cat_status,status
MG-P856E7B5DDD4E,电笔,047909,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,04.018.001.001,04.018.001.001,,unchanged,updated
MG-P85916D0ED8B1,天线,12998176,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,14.002.002.004,02.006.002.004,,changed,updated
MG-P860D433D319A,高压泵,13802765,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,07.004.005.001,07.004.006.002,,changed,updated
MG-P8677446A3416,石笔,13301172,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,04.033,04.033,,no_L1,updated
MG-P8769AAAEB704,小推车轱辘,15191914,20260710_220036,2026-07-12T07:36:26+00:00,1,2,7,720,04.008.005,04.008.005,,no_L1,updated
MG-P87899E523037,白色尼龙线,31306985,20260710_220036,2026-07-12T07:36:26+00:00,1,2,5,800,04.024,04.024,,no_L1,updated
MG-P87E9B984B415,铁膨胀栓,009860,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,08.011.006.001,08.011.006.001,,unchanged,updated
MG-P89AA39243517,平头錾子,057308,20260710_220036,2026-07-12T07:36:26+00:00,1,4,0,800,04.007.003.001,04.007.006.001,,changed,updated
MG-P89E85F3EDA72,污水泵,11141133,20260710_220036,2026-07-12T07:36:26+00:00,1,1,3,800,07.004.013.005,07.004.009.001,,changed,updated
MG-P8A5EA7432E9B,铝合金刮杠,12548996,20260710_220036,2026-07-12T07:36:26+00:00,1,3,9,800,04.011.001.012,04.011.001.012,,no_L1,updated
MG-P8B3E2F754CAE,角磨机,21034480,20260710_220036,2026-07-12T07:36:26+00:00,1,2,2,800,07.003.003.001,07.003.003.001,,no_L1,updated
MG-P8B491A5DD2D1,插头,049330,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,31.007.004.005,15.002.001.001,,changed,updated
MG-P8C24EAEFCA72,茶几,082849,20260710_220036,2026-07-12T07:36:26+00:00,1,1,1,800,32.002,32.002,,no_L1,updated
MG-P8D032D0F8D85,胶枪,16857932,20260710_220036,2026-07-12T07:36:26+00:00,1,4,5,800,03.001.004.001,04.012.007.001,,changed,updated
MG-P8D0783C0738F,环氧固化剂,19746156,20260710_220036,2026-07-12T07:36:26+00:00,1,1,6,800,18.003.001.004,18.003.001.004,,unchanged,updated
MG-P8D9B8110C487,实木办公桌,082841,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,32.002,32.002,,no_L1,updated
MG-P8E49329DC6BD,高压钠灯,25804255YD,20260710_220036,2026-07-12T07:36:26+00:00,1,2,4,800,11.002.003.002,11.002.003.002,,unchanged,updated
MG-P8EF4A5D302BF,温度调节器,11755447,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,24.007.003.002,24.007.003.002,,no_L1,updated
MG-P8F1066B37FEF,圆柱形壁灯,15146142,20260710_220036,2026-07-12T07:36:26+00:00,1,3,4,800,11.004.002.011,06.001.002.004,,changed,updated
MG-P8F2B66C464AB,紧急电话,14050373,20260710_220036,2026-07-12T07:36:26+00:00,1,3,3,800,02.006.011.013,26.003.002.003,,changed,updated
MG-P8F3FD7A7AA92,控制柜,12588690,20260710_220036,2026-07-12T07:36:26+00:00,1,1,2,800,31.002.002.002,31.002.002.002,,no_L1,updated
MG-P8F542640E250,镀锌变径,13435115,20260710_220036,2026-07-12T07:36:26+00:00,1,3,6,800,25.002.003.019,25.002.003.003,,changed,updated
MG-P8FFB8251CC5E,PVC 90°外丝弯头,13614276,20260710_220036,2026-07-12T07:36:26+00:00,1,1,1,800,28.003.004.032,28.016.001.002,,changed,updated
MG-P903D1CBFC98D,吹风机,11913198,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,24.002.001.002,24.002.001.002,,no_L1,updated
MG-P907450010533,灯头（座）,014745,20260710_220036,2026-07-12T07:36:26+00:00,1,4,8,800,11.002.005.006,11.002.005.007,,changed,updated
MG-P91521FBA57FA,稳压器,18324831,20260710_220036,2026-07-12T07:36:26+00:00,1,3,3,800,31.006.008.001,31.006.008.001,,unchanged,updated
MG-P91BFAE819F01,压力调节器,16972771,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,05.007.003.005,14.002.009.014,,changed,updated
MG-P91EB25BF5C4D,油管路,14274563,20260710_220036,2026-07-12T07:36:26+00:00,1,2,4,800,05.004.002.013,05.004.002.001,,changed,updated
MG-P922520CE14E6,白炽灯泡,V34852224,20260710_220036,2026-07-12T07:36:26+00:00,1,2,0,800,11.002.001.001,11.002.002.001,,changed,updated
MG-P92749E22CC0E,数字电话交换机,31478437,20260710_220036,2026-07-12T07:36:26+00:00,1,2,4,800,12.006.004.003,12.006.004.003,,no_L1,updated
MG-P92D785CEBCFC,排水阀,24851059,20260710_220036,2026-07-12T07:36:26+00:00,1,3,0,800,25.001.005.012,05.001.001.006,,changed,updated
MG-P935910EF2EE4,通丝螺帽,10728568,20260710_220036,2026-07-12T07:36:26+00:00,1,3,6,800,08.004.003.002,21.003.001.001,,changed,updated
MG-P93752651F21F,顶托,10643153,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,21.003.008.003,21.003.008.001,,changed,updated
MG-P93EA7DB47190,老板椅,16332388,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,32.002,32.002,,no_L1,updated
MG-P93FEC0D069C8,槽钢,13006374,20260710_220036,2026-07-12T07:36:26+00:00,1,3,6,3120,25.003.004.001,08.012.011.004,,changed,updated
MG-P94BA648ABB05,线坠,003149,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,04.011.001.002,04.011.001.002,,unchanged,updated
MG-P9561B5F92999,安全带,21732471,20260710_220036,2026-07-12T07:36:26+00:00,1,2,9,800,01.008.002.007,01.008.002.001,,changed,updated
MG-P95A5BC16D1B6,干粉灭火器,29076856,20260710_220036,2026-07-12T07:36:26+00:00,1,3,3,800,26.001.011.001,26.001.009.002,,changed,updated
MG-P965ADA958CA6,墙面石膏粉,Y00013,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,18.002.007.002,18.002.007.001,,changed,updated
MG-P966CFE6B02A1,壁式轴流风机,076386,20260710_220036,2026-07-12T07:36:26+00:00,1,3,4,800,24.002.001.009,24.002.001.009,,unchanged,updated
MG-P966E95C7A6C5,旁通阀,12986907,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,25.001.005.027,25.001.005.027,,no_L1,updated
MG-P966FC74359B8,高压线路,20423121,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,12.002.001.001,04.016.001.011,,changed,updated
MG-P9677AA1F8134,手动调节阀,10732587,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,25.001.004.025,25.001.005.016,,changed,updated
MG-P96A34443D282,管堵,12431564,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,24.011.001.003,28.013.001.009,,changed,updated
MG-P9716CDCA22A4,自动调压器,10397386,20260710_220036,2026-07-12T07:36:26+00:00,1,3,5,800,31.006.002.001,31.006.002.001,,unchanged,updated
MG-P980BA62F3F88,单控开关,12618061,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,15.002.005.001,15.002.005.001,,unchanged,updated
MG-P98EE1BEBCD41,前端放大器,25706618,20260710_220036,2026-07-12T07:36:26+00:00,1,4,0,800,02.006.004.005,02.006.004.005,,no_L1,updated
MG-P9940D294DBF0,吊扇,020973,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,10.003.001.013,10.001.007.007,,changed,updated
MG-P994C16D40E38,转轮除湿机,13817048,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,10.001.005.003,10.003.001.011,,changed,updated
MG-P99BD5081549B,贮气罐,070945,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,24.002.005.002,05.002.001.006,,changed,updated
MG-P9AE9EE502F1B,记号马克笔,21576933,20260710_220036,2026-07-12T07:36:26+00:00,1,3,4,800,04.039,04.039,,no_L1,updated
MG-P9B31EE6B1147,AB胶,013796,20260710_220036,2026-07-12T07:36:26+00:00,1,4,1,800,03.002.002.009,03.002.002.009,,unchanged,updated
MG-P9B66812F5089,热水器,30415289,20260710_220036,2026-07-12T07:36:26+00:00,1,2,0,800,27.003.009.003,10.002.005.002,,changed,updated
MG-P9B898AF0DEDE,彩钢瓦,16547228,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,19.003.001.001,19.003.001.001,,unchanged,updated
MG-P9B94F3BF27BB,法兰螺旋碳钢管,17004944,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,30.002.002.002,30.002.002.002,,unchanged,updated
MG-P9BB76B25B444,电洛铁,V30743967,20260710_220036,2026-07-12T07:36:26+00:00,1,2,0,800,04.018.003.001,04.018.003.001,,unchanged,updated
MG-P9BF809B0E055,镀锌三通,10134893,20260710_220036,2026-07-12T07:36:26+00:00,1,4,0,800,25.002.003.009,25.002.003.009,,unchanged,updated
MG-P9C97DFA6E4B3,钢筋切断机,10680618,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,07.003.004.001,07.003.004.001,,no_L1,updated
MG-P9CCC932C8412,漏电继电器,10396624,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,31.001.006.002,14.002.008.009,,changed,updated
MG-P9D2200164909,柴油发电机（组）,21317873,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,600,07.002.002.001,07.002.002.001,,unchanged,updated
MG-P9D48D280A20B,配电箱,018797,20260710_220036,2026-07-12T07:36:26+00:00,1,2,9,800,31.002.002.001,31.002.001.001,,changed,updated
MG-P9E24FCEA892E,电冰箱,31694405,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,24.006.010,10.002.001.006,,changed,updated
MG-P9FDB4AB88982,喷嘴,19658510,20260710_220036,2026-07-12T07:36:26+00:00,1,4,5,800,24.019,24.019,,no_L1,updated
MG-P9FE900846FFD,电阻器,33447036,20260710_220036,2026-07-12T07:36:26+00:00,1,1,0,640,14.002.002.002,14.002.002.002,,no_L1,updated
MG-PA04065CC29E0,中效过滤器,16319448,20260710_220036,2026-07-12T07:36:26+00:00,1,2,2,800,24.002.002.003,24.002.002.001,,changed,updated
MG-PA1C03BF77C5C,漏电保护器,11284958,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,31.003.003.001,31.003.006.002,,changed,updated
MG-PA2612EA3E5CE,空压机,15852958,20260710_220036,2026-07-12T07:36:26+00:00,1,1,1,800,07.007.001.001,07.007.002.001,,changed,updated
MG-PA2DB2DA113C5,节流阀,21712543,20260710_220036,2026-07-12T07:36:26+00:00,1,2,2,800,25.001.005.037,05.002.001.001,,changed,updated
MG-PA2EF3AEBFF06,套丝机,10174290,20260710_220036,2026-07-12T07:36:26+00:00,1,4,0,800,04.004.004,04.004.004,,no_L1,updated
MG-PA319B37B0801,工字钢,15098579,20260710_220036,2026-07-12T07:36:26+00:00,1,1,4,800,08.012.005.007,08.012.005.007,,unchanged,updated
MG-PA321BB8EAE06,塑料垃圾桶-长方体桶,12548597,20260710_220036,2026-07-12T07:36:26+00:00,1,1,0,800,22.004.012,22.004.012,,no_L1,updated
MG-PA332BF739AD1,变压器,13794806,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,31.006.005.007,31.006.005.004,,changed,updated
MG-PA3B60FA75B9D,壁纸美工刀,13881609,20260710_220036,2026-07-12T07:36:26+00:00,1,4,1,800,04.013.001.001,04.013.001.001,,unchanged,updated
MG-PA403C5878F04,预制混凝土盖板,35045108,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,30.007.001.011,30.007.001.003,,changed,updated
MG-PA529A7FC7E52,小便器,11765537,20260710_220036,2026-07-12T07:36:26+00:00,1,2,4,800,27.002.004.001,27.002.004.001,,unchanged,updated
MG-PA52ACDD5E973,镀锌双外丝接头,29407540,20260710_220036,2026-07-12T07:36:26+00:00,1,2,0,800,25.002.003.003,05.002.001.001,,changed,updated
MG-PA532F272F039,滤纸,15982718,20260710_220036,2026-07-12T07:36:26+00:00,1,2,2,800,05.004.004.003,05.004.004.003,,no_L1,updated
MG-PA563DB92D2F6,地源热泵,15225909,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,750,24.006.002.002,24.006.002.004,,changed,updated
MG-PA5B0B67D7905,镀锌内丝三通,24596615,20260710_220036,2026-07-12T07:36:26+00:00,1,3,3,800,25.002.003.009,30.003.005.002,,changed,updated
MG-PA5F8239F65CC,转子,24141895,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,14.001.002.006,14.001.002.006,,no_L1,updated
MG-PA64CD054B6FC,中继器,15979450,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,02.006.002.011,14.001.003.001,,changed,updated
MG-PA66B4FE74BD5,吸顶灯,060314,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,11.001.001.001,11.001.001.001,,unchanged,updated
MG-PA6711CFECE3D,热水循环泵,13802926,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,25.001.004.008,07.004.006.003,,changed,updated
MG-PA6AABB65662B,单向阀,13286406,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,25.001.005.021,05.007.003.004,,changed,updated
MG-PA6F17C1CCEC1,避雷针支架,25900698,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,13.009.003.001,13.009.003.001,,unchanged,updated
MG-PA726B5519728,塑料外壳式断路器,15755646,20260710_220036,2026-07-12T07:36:26+00:00,0,0,0,387,31.003.006.001,31.003.006.001,,held,low_res_no_cover
MG-PA78852AF466F,平板振动器,058777,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,07.003.010,07.003.010,,no_L1,updated
MG-PA7A596C10B6E,热风枪,15745591,20260710_220036,2026-07-12T07:36:26+00:00,1,2,9,800,04.012.023,04.012.023,,no_L1,updated
MG-PA7AA59EB1595,空开,018458,20260710_220036,2026-07-12T07:36:26+00:00,1,2,9,1200,31.003.006.001,31.001.002.001,,changed,updated
MG-PA7B705590067,球墨法兰变径,25903923,20260710_220036,2026-07-12T07:36:26+00:00,1,2,6,800,30.006.001.001,30.006.001.001,,unchanged,updated
MG-PA7C5761D8523,斜口钳,15240259,20260710_220036,2026-07-12T07:36:26+00:00,1,1,2,720,04.005.008.001,04.016.001.026,,changed,updated
MG-PA82F9FA3C0ED,地毯,17851233,20260710_220036,2026-07-12T07:36:26+00:00,1,0,1,800,02.004.001.005,02.004.001.005,,unchanged,updated
MG-PA842DDCDD0FA,PVC外丝三通,11459338,20260710_220036,2026-07-12T07:36:26+00:00,1,4,5,800,28.003.004.037,28.003.004.078,,changed,updated
MG-PA853F9ED417A,保险箱,23828490,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,32.002,32.002,,no_L1,updated
MG-PA85CB4CDE1BC,图钉,31199857,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,04.022,04.022,,no_L1,updated
MG-PA8771C23928C,防尘口罩,27676864,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,01.003.001.007,01.003.003.002,,changed,updated
MG-PA8A61ED35BE6,毛巾架,11815449,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,27.003.012.002,27.003.012.002,,no_L1,updated
MG-PA8CF125920B3,钢制储油罐,V18863601,20260710_220036,2026-07-12T07:36:26+00:00,1,2,0,800,22.010,22.010,,no_L1,updated
MG-PA9490BC433A5,荧光灯,14180609,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,11.002.001.003,11.005.001.013,,changed,updated
MG-PA95E9FB05AC1,会议桌,17628886,20260710_220036,2026-07-12T07:36:26+00:00,1,1,1,800,32.002,32.002,,no_L1,updated
MG-PA9BB2EE9EAD8,防火阀,078205,20260710_220036,2026-07-12T07:36:26+00:00,1,4,1,800,24.008.001.001,24.008.001.001,,unchanged,updated
MG-PA9BDD748722E,电焊机,007519,20260710_220036,2026-07-12T07:36:26+00:00,1,4,0,800,04.019.007.003,04.019.007.003,,no_L1,updated
MG-PA9DEFD029A46,壁灯,23501134,20260710_220036,2026-07-12T07:36:26+00:00,1,4,5,800,11.004.002.011,11.004.002.011,,unchanged,updated
MG-PAA7920C0E4DE,饮水机,12567387,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,10.005.002.001,10.005.002.004,,changed,updated
MG-PAAA3A8BE0252,万用电表,16312595,20260710_220036,2026-07-12T07:36:26+00:00,1,2,9,800,31.004.001.002,31.004.001.002,,no_L1,updated
MG-PAB09FBFFFC03,电话分机,15964223,20260710_220036,2026-07-12T07:36:26+00:00,1,3,5,800,02.006.011.010,26.003.002.003,,changed,updated
MG-PAC24D7290247,功率因数表,10292153,20260710_220036,2026-07-12T07:36:26+00:00,1,4,7,800,31.004.002.001,31.004.004.001,,changed,updated
MG-PAC47A1320752,初级过滤器,16319338,20260710_220036,2026-07-12T07:36:26+00:00,1,2,2,800,24.002.002.004,24.002.002.001,,changed,updated
MG-PAC506AB231D7,行程开关,12281807,20260710_220036,2026-07-12T07:36:26+00:00,1,3,8,800,14.002.009.018,14.002.009.001,,changed,updated
MG-PAC999D4AE1F7,微动开关,16025903,20260710_220036,2026-07-12T07:36:26+00:00,1,1,1,800,14.002.009.006,14.002.009.004,,changed,updated
MG-PAC9EE226A2E2,油过滤器,15021631,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,05.004.004.001,05.004.004.002,,changed,updated
MG-PAC9FFF49A157,嵌入式手纸架,V36283875,20260710_220036,2026-07-12T07:36:26+00:00,1,2,0,800,27.003.012.004,27.003.012.004,,no_L1,updated
MG-PACF402FEA889,路沿石,26183045,20260710_220036,2026-07-12T07:36:26+00:00,1,3,3,800,30.007.001.012,30.007.001.012,,no_L1,updated
MG-PAD5C979786EC,离心风机,11393226,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,750,24.002.001.006,24.002.001.006,,unchanged,updated
MG-PADBCD80DDB9D,漏电保护开关,11695016,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,31.001.006.001,31.001.006.002,,changed,updated
MG-PADD9E8AED8CA,玻璃棉,33074152,20260710_220036,2026-07-12T07:36:26+00:00,1,3,2,800,16.006.002.001,16.006.001.001,,changed,updated
MG-PADE203980595,90°镀锌内丝弯头,16352519,20260710_220036,2026-07-12T07:36:26+00:00,1,2,6,800,25.002.003.011,30.003.005.002,,changed,updated
MG-PAF4C2C1EC498,镀锌钢管,073104,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,30.002.004.001,30.002.004.001,,unchanged,updated
MG-PAF5FADFA78C2,消防泵,15044180,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,07.004.012.001,07.004.012.001,,unchanged,updated
MG-PAFE0ACD7A2F8,电冰箱,22274490,20260710_220036,2026-07-12T07:36:26+00:00,1,4,9,800,10.002.001.005,10.002.001.007,,changed,updated
MG-PB02157D7EBC2,尘埃离子计数器,23794665,20260710_220036,2026-07-12T07:36:26+00:00,1,3,7,800,24.012.005,24.012.005,,no_L1,updated
MG-PB08D91A63A93,百叶窗,14100693,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,24.003.003.006,20.003.004.001,,changed,updated
MG-PB1CDC4DA3EEE,货架,17584131,20260710_220036,2026-07-12T07:36:26+00:00,1,2,7,800,22.010,22.010,,no_L1,updated
MG-PB28E878882B2,电压互感器,16473558,20260710_220036,2026-07-12T07:36:26+00:00,1,2,1,800,31.006.010.001,31.006.010.001,,unchanged,updated
MG-PB2DFA83197EB,十字螺丝刀,083743,20260710_220036,2026-07-12T07:36:26+00:00,1,3,1,800,04.014.002.001,04.014.006.001,,changed,updated
MG-PB304D4E4D49C,电机,012104,20260710_220036,2026-07-12T07:36:26+00:00,1,3,7,800,10.001.007.006,07.001.001.001,,changed,updated
MG-PB3793C7CAF56,水份分离器,13478426,20260710_220036,2026-07-12T07:36:26+00:00,1,2,3,800,05.001.001.010,05.001.001.003,,changed,updated
MG-PB3F68E75B9D6,顺位器,25371508,20260710_220036,2026-07-12T07:36:26+00:00,1,2,4,800,20.004.006.001,20.004.006.001,,unchanged,updated
MG-PB48077625ECF,室内消火栓,11305782,20260710_220036,2026-07-12T07:36:26+00:00,1,4,6,800,26.001.010.001,26.001.010.001,,unchanged,updated
